"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.85	0.0836156	0.136804	0.160168	0.692368	0.0508258	0.179933	
0.95	0.0513977	0.369771	0.0710679	0.660912	0.0292614	0.0296842	
1.05	0.175442	0.0717034	0.0226127	0.341507	0.00886185	0.014927	
1.15	0.686143	0.0238396	0.187303	0.445984	0.0405526	0.0640454	
1.25	0.135287	0.19729	0.0512504	1	0.066952	0.139773	
1.35	0.209983	0.944445	0.238059	0.544162	0.071684	0.229704	
1.45	0.526741	0.132116	0.118829	1	0.105535	0.317686	
1.55	0.735974	0.217785	0.463281	0.781727	0.125167	0.399936	
1.65	1	0.2086	0.32325	0.563885	0.126626	0.38806	
1.75	1	0.547914	0.538608	1	0.184239	0.478673	
1.85	0.561545	0.365695	0.575789	0.871565	0.236227	0.398258	
1.95	0.730044	0.199158	0.799191	1	0.249327	0.466076	

